-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,21,22,23,94,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,24,0,25,-1,-1,-1,-1,-1,-1
-1,-1,-1,2,2,2,26,27,28,2,3,-1,-1,-1,-1
-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,54,-1,-1,-1,-1,-1,73,-1,-1,-1,54,-1,-1,-1
3,54,2,-1,-1,3,2,74,2,2,2,54,2,-1,-1
1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1019,1019,1020,1019,1019,1019,1019,1020,1020,1019,1019,1019,1019,1019,1019
3,3,3,3,3,3,3,3,3,3,3,-1,-1,-1,-1
8,6,7,31,32,33,34,35,36,37,38,-1,-1,-1,-1
9,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9, 5,-1,-1,-1,-1,-1,-1,-1,-1,-1,188,-1,-1,-1
10,2,2,2,2,2,2,-1,2,2,2,189,2,3,2
1,1,1,1,1,1,1,19,1,1,1,1,1,1,1
1,1,1,1,1,1,20,20,20,1,1,1,1,1,1
1,1,1,1,1,20,20,20,20,20,1,1,1,1,1
